time,precipitation,precipitation_probability,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,evapotranspiration,sm_norm,time_local,date
2025-11-02 03:00:00+00:00,0.0,0.0,0.248,0.25,0.03,0.42285717,2025-11-02 00:00:00-03:00,2025-11-02
2025-11-02 04:00:00+00:00,0.0,0.0,0.249,0.252,0.04,0.42571425,2025-11-02 01:00:00-03:00,2025-11-02
2025-11-02 05:00:00+00:00,0.0,0.0,0.25,0.253,0.04,0.42857146,2025-11-02 02:00:00-03:00,2025-11-02
2025-11-02 06:00:00+00:00,0.0,0.0,0.252,0.254,0.03,0.43428576,2025-11-02 03:00:00-03:00,2025-11-02
2025-11-02 07:00:00+00:00,0.0,3.0,0.253,0.255,0.03,0.43714285,2025-11-02 04:00:00-03:00,2025-11-02
2025-11-02 08:00:00+00:00,0.0,13.0,0.254,0.256,0.03,0.44000006,2025-11-02 05:00:00-03:00,2025-11-02
2025-11-02 09:00:00+00:00,0.0,30.0,0.255,0.256,0.02,0.44285715,2025-11-02 06:00:00-03:00,2025-11-02
2025-11-02 10:00:00+00:00,0.0,33.0,0.255,0.257,0.03,0.44285715,2025-11-02 07:00:00-03:00,2025-11-02
2025-11-02 11:00:00+00:00,0.0,38.0,0.254,0.257,0.06,0.44000006,2025-11-02 08:00:00-03:00,2025-11-02
2025-11-02 12:00:00+00:00,0.0,40.0,0.253,0.256,0.10000001,0.43714285,2025-11-02 09:00:00-03:00,2025-11-02
2025-11-02 13:00:00+00:00,0.2,33.0,0.261,0.257,0.14000002,0.46000004,2025-11-02 10:00:00-03:00,2025-11-02
2025-11-02 14:00:00+00:00,0.4,20.0,0.264,0.266,0.20000002,0.46857145,2025-11-02 11:00:00-03:00,2025-11-02
2025-11-02 15:00:00+00:00,0.0,25.0,0.258,0.262,0.16,0.45142856,2025-11-02 12:00:00-03:00,2025-11-02
2025-11-02 16:00:00+00:00,0.0,13.0,0.25,0.258,0.22,0.42857146,2025-11-02 13:00:00-03:00,2025-11-02
2025-11-02 17:00:00+00:00,0.1,8.0,0.254,0.254,0.22,0.44000006,2025-11-02 14:00:00-03:00,2025-11-02
2025-11-02 18:00:00+00:00,0.2,10.0,0.25,0.257,0.27,0.42857146,2025-11-02 15:00:00-03:00,2025-11-02
2025-11-02 19:00:00+00:00,0.0,10.0,0.245,0.253,0.23,0.41428575,2025-11-02 16:00:00-03:00,2025-11-02
2025-11-02 20:00:00+00:00,0.0,13.0,0.244,0.25,0.16,0.41142857,2025-11-02 17:00:00-03:00,2025-11-02
2025-11-02 21:00:00+00:00,0.0,20.0,0.244,0.25,0.12,0.41142857,2025-11-02 18:00:00-03:00,2025-11-02
2025-11-02 22:00:00+00:00,0.0,28.0,0.245,0.25,0.10000001,0.41428575,2025-11-02 19:00:00-03:00,2025-11-02
2025-11-02 23:00:00+00:00,0.0,38.0,0.247,0.25,0.07000001,0.41999996,2025-11-02 20:00:00-03:00,2025-11-02
2025-11-03 00:00:00+00:00,0.0,48.0,0.248,0.251,0.07000001,0.42285717,2025-11-02 21:00:00-03:00,2025-11-02
2025-11-03 01:00:00+00:00,0.0,58.0,0.249,0.252,0.06,0.42571425,2025-11-02 22:00:00-03:00,2025-11-02
2025-11-03 02:00:00+00:00,0.0,53.0,0.25,0.252,0.050000004,0.42857146,2025-11-02 23:00:00-03:00,2025-11-02
2025-11-03 03:00:00+00:00,0.0,40.0,0.251,0.253,0.050000004,0.43142855,2025-11-03 00:00:00-03:00,2025-11-03
2025-11-03 04:00:00+00:00,0.1,38.0,0.254,0.255,0.050000004,0.44000006,2025-11-03 01:00:00-03:00,2025-11-03
2025-11-03 05:00:00+00:00,0.2,40.0,0.265,0.257,0.050000004,0.47142854,2025-11-03 02:00:00-03:00,2025-11-03
2025-11-03 06:00:00+00:00,0.0,48.0,0.259,0.26,0.050000004,0.45428574,2025-11-03 03:00:00-03:00,2025-11-03
2025-11-03 07:00:00+00:00,0.0,55.0,0.258,0.26,0.04,0.45142856,2025-11-03 04:00:00-03:00,2025-11-03
2025-11-03 08:00:00+00:00,0.0,45.0,0.258,0.259,0.04,0.45142856,2025-11-03 05:00:00-03:00,2025-11-03
2025-11-03 09:00:00+00:00,0.0,48.0,0.26,0.259,0.050000004,0.45714286,2025-11-03 06:00:00-03:00,2025-11-03
2025-11-03 10:00:00+00:00,0.0,25.0,0.258,0.26,0.09,0.45142856,2025-11-03 07:00:00-03:00,2025-11-03
2025-11-03 11:00:00+00:00,0.0,30.0,0.255,0.258,0.13,0.44285715,2025-11-03 08:00:00-03:00,2025-11-03
2025-11-03 12:00:00+00:00,0.0,25.0,0.251,0.256,0.17,0.43142855,2025-11-03 09:00:00-03:00,2025-11-03
2025-11-03 13:00:00+00:00,0.0,23.0,0.245,0.253,0.23,0.41428575,2025-11-03 10:00:00-03:00,2025-11-03
2025-11-03 14:00:00+00:00,0.0,28.0,0.236,0.248,0.32,0.38857147,2025-11-03 11:00:00-03:00,2025-11-03
2025-11-03 15:00:00+00:00,0.0,23.0,0.226,0.242,0.37000003,0.35999995,2025-11-03 12:00:00-03:00,2025-11-03
2025-11-03 16:00:00+00:00,0.0,18.0,0.217,0.236,0.38,0.3342857,2025-11-03 13:00:00-03:00,2025-11-03
2025-11-03 17:00:00+00:00,0.0,13.0,0.21,0.231,0.36,0.3142857,2025-11-03 14:00:00-03:00,2025-11-03
2025-11-03 18:00:00+00:00,0.0,15.0,0.205,0.227,0.32,0.29999998,2025-11-03 15:00:00-03:00,2025-11-03
2025-11-03 19:00:00+00:00,0.0,8.0,0.204,0.224,0.27,0.29714283,2025-11-03 16:00:00-03:00,2025-11-03
2025-11-03 20:00:00+00:00,0.0,5.0,0.205,0.222,0.21000002,0.29999998,2025-11-03 17:00:00-03:00,2025-11-03
2025-11-03 21:00:00+00:00,0.0,3.0,0.209,0.222,0.13,0.31142858,2025-11-03 18:00:00-03:00,2025-11-03
2025-11-03 22:00:00+00:00,0.0,5.0,0.214,0.223,0.08,0.3257143,2025-11-03 19:00:00-03:00,2025-11-03
2025-11-03 23:00:00+00:00,0.0,0.0,0.219,0.225,0.050000004,0.34,2025-11-03 20:00:00-03:00,2025-11-03
2025-11-04 00:00:00+00:00,0.0,3.0,0.222,0.227,0.04,0.34857145,2025-11-03 21:00:00-03:00,2025-11-03
2025-11-04 01:00:00+00:00,0.0,2.0,0.225,0.229,0.04,0.35714284,2025-11-03 22:00:00-03:00,2025-11-03
2025-11-04 02:00:00+00:00,0.0,1.0,0.228,0.231,0.04,0.36571425,2025-11-03 23:00:00-03:00,2025-11-03
2025-11-04 03:00:00+00:00,0.0,0.0,0.23,0.232,0.03,0.37142855,2025-11-04 00:00:00-03:00,2025-11-04
