bairro,date,H_score,U_t,Fragilidade_t,Risk_score,Risk_level
Centro,2025-11-02,0.6118999987840652,0.038,0.962,0.5886477988302707,yellow
Olaria,2025-11-02,0.6118999987840652,0.0,1.0,0.6118999987840652,yellow
Rio Branco,2025-11-02,0.6118999987840652,0.059,0.9410000000000001,0.5757978988558053,yellow
Fátima,2025-11-02,0.6118999987840652,0.358,0.642,0.39283979921936985,yellow
Mato Grande,2025-11-02,0.6118999987840652,0.156,0.844,0.516443598973751,yellow
São José,2025-11-02,0.6118999987840652,0.173,0.827,0.5060412989944219,yellow
Niterói,2025-11-02,0.6118999987840652,0.045,0.955,0.5843644988387823,yellow
Guajuviras,2025-11-02,0.6118999987840652,0.0,1.0,0.6118999987840652,yellow
Brigadeira,2025-11-02,0.6118999987840652,0.342,0.6579999999999999,0.40263019919991483,yellow
Marechal Rondon,2025-11-02,0.6118999987840652,0.364,0.636,0.38916839922666546,yellow
Igara,2025-11-02,0.6118999987840652,0.057,0.943,0.5770216988533734,yellow
Estância Velha,2025-11-02,0.6118999987840652,0.008,0.992,0.6070047987937927,yellow
Harmonia,2025-11-02,0.6118999987840652,0.129,0.871,0.5329648989409208,yellow
São Luís,2025-11-02,0.6118999987840652,0.356,0.644,0.394063599216938,yellow
Industrial,2025-11-02,0.6118999987840652,0.364,0.636,0.38916839922666546,yellow
Nossa Senhora das Graças,2025-11-02,0.6118999987840652,0.118,0.882,0.5396957989275455,yellow
Mathias Velho,2025-11-02,0.6118999987840652,0.008,0.992,0.6070047987937927,yellow
Ilha das Garças,2025-11-02,0.6118999987840652,0.0,1.0,0.6118999987840652,yellow
Centro,2025-11-03,0.5825500017404557,0.038,0.962,0.5604131016743183,yellow
Olaria,2025-11-03,0.5825500017404557,0.0,1.0,0.5825500017404557,yellow
Rio Branco,2025-11-03,0.5825500017404557,0.059,0.9410000000000001,0.5481795516377689,yellow
Fátima,2025-11-03,0.5825500017404557,0.358,0.642,0.37399710111737255,yellow
Mato Grande,2025-11-03,0.5825500017404557,0.156,0.844,0.4916722014689446,yellow
São José,2025-11-03,0.5825500017404557,0.173,0.827,0.4817688514393568,yellow
Niterói,2025-11-03,0.5825500017404557,0.045,0.955,0.5563352516621352,yellow
Guajuviras,2025-11-03,0.5825500017404557,0.0,1.0,0.5825500017404557,yellow
Brigadeira,2025-11-03,0.5825500017404557,0.342,0.6579999999999999,0.3833179011452198,yellow
Marechal Rondon,2025-11-03,0.5825500017404557,0.364,0.636,0.3705018011069298,yellow
Igara,2025-11-03,0.5825500017404557,0.057,0.943,0.5493446516412497,yellow
Estância Velha,2025-11-03,0.5825500017404557,0.008,0.992,0.577889601726532,yellow
Harmonia,2025-11-03,0.5825500017404557,0.129,0.871,0.5074010515159368,yellow
São Luís,2025-11-03,0.5825500017404557,0.356,0.644,0.37516220112085347,yellow
Industrial,2025-11-03,0.5825500017404557,0.364,0.636,0.3705018011069298,yellow
Nossa Senhora das Graças,2025-11-03,0.5825500017404557,0.118,0.882,0.513809101535082,yellow
Mathias Velho,2025-11-03,0.5825500017404557,0.008,0.992,0.577889601726532,yellow
Ilha das Garças,2025-11-03,0.5825500017404557,0.0,1.0,0.5825500017404557,yellow
Centro,2025-11-04,0.4613999938964844,0.038,0.962,0.44386679412841795,yellow
Olaria,2025-11-04,0.4613999938964844,0.0,1.0,0.4613999938964844,yellow
Rio Branco,2025-11-04,0.4613999938964844,0.059,0.9410000000000001,0.43417739425659185,yellow
Fátima,2025-11-04,0.4613999938964844,0.358,0.642,0.296218796081543,green
Mato Grande,2025-11-04,0.4613999938964844,0.156,0.844,0.3894215948486328,yellow
São José,2025-11-04,0.4613999938964844,0.173,0.827,0.3815777949523926,yellow
Niterói,2025-11-04,0.4613999938964844,0.045,0.955,0.4406369941711426,yellow
Guajuviras,2025-11-04,0.4613999938964844,0.0,1.0,0.4613999938964844,yellow
Brigadeira,2025-11-04,0.4613999938964844,0.342,0.6579999999999999,0.3036011959838867,green
Marechal Rondon,2025-11-04,0.4613999938964844,0.364,0.636,0.2934503961181641,green
Igara,2025-11-04,0.4613999938964844,0.057,0.943,0.4351001942443848,yellow
Estância Velha,2025-11-04,0.4613999938964844,0.008,0.992,0.4577087939453125,yellow
Harmonia,2025-11-04,0.4613999938964844,0.129,0.871,0.40187939468383793,yellow
São Luís,2025-11-04,0.4613999938964844,0.356,0.644,0.29714159606933593,green
Industrial,2025-11-04,0.4613999938964844,0.364,0.636,0.2934503961181641,green
Nossa Senhora das Graças,2025-11-04,0.4613999938964844,0.118,0.882,0.40695479461669926,yellow
Mathias Velho,2025-11-04,0.4613999938964844,0.008,0.992,0.4577087939453125,yellow
Ilha das Garças,2025-11-04,0.4613999938964844,0.0,1.0,0.4613999938964844,yellow
Centro,2025-11-05,0.431049994379282,0.038,0.962,0.41467009459286924,yellow
Olaria,2025-11-05,0.431049994379282,0.0,1.0,0.431049994379282,yellow
Rio Branco,2025-11-05,0.431049994379282,0.059,0.9410000000000001,0.4056180447109044,yellow
Fátima,2025-11-05,0.431049994379282,0.358,0.642,0.27673409639149904,green
