date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude
2023-12-31,0.4927944,0.4927942,0.4927944,0.4927944,0.4927944,0.4927944,0.4927944,-30.02499771118164,-51.22499084472656
2024-01-01,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,-30.02499771118164,-51.22499084472656
2024-01-02,0.686553,1.080146,0.81972015,0.23310483,4.3703184,0.50671446,1.3831736,-30.02499771118164,-51.22499084472656
2024-01-03,0.46217716,0.9873234,0.7620181,0.38356638,3.4565625,0.56135213,1.2416635,-30.02499771118164,-51.22499084472656
2024-01-04,0.5848932,0.7640317,0.5381547,0.36772883,6.6032624,0.43468112,0.72589296,-30.02499771118164,-51.22499084472656
2024-01-05,0.3273945,0.34263963,0.3273945,0.25892544,0.64058983,0.3273945,0.33659554,-30.02499771118164,-51.22499084472656
2024-01-06,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-01-07,0.20226443,0.6585409,0.26629484,0.14024973,3.2072663,0.14024973,0.9176804,-30.02499771118164,-51.22499084472656
2024-01-08,1.741574,1.233746,1.1777617,0.1561122,5.441693,0.560544,1.6699362,-30.02499771118164,-51.22499084472656
2024-01-09,0.686553,0.7768505,0.686553,0.686553,1.4043629,0.686553,0.77736336,-30.02499771118164,-51.22499084472656
2024-01-10,0.10917485,0.20011486,0.10917485,0.10917485,3.0457587,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-01-11,0.5170504,1.9991513,1.5562534,0.23310483,6.6559663,1.0464447,3.0926065,-30.02499771118164,-51.22499084472656
2024-01-12,0.28233063,0.283204,0.28233063,0.28233063,0.29717922,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656
2024-01-13,0.40604758,0.40604773,0.40604758,0.40604758,0.40604758,0.40604758,0.40604758,-30.02499771118164,-51.22499084472656
2024-01-14,0.4996848,0.82884383,0.60887873,0.23310483,2.4040818,0.31219995,1.143165,-30.02499771118164,-51.22499084472656
2024-01-15,0.8113401,1.2530377,0.83457226,0.28233063,7.2413816,0.31984067,1.8560157,-30.02499771118164,-51.22499084472656
2024-01-16,0.4859357,0.5326264,0.4859357,0.4859357,1.5644841,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656
2024-01-17,10.2719755,11.0863695,10.117435,4.260173,24.118862,8.573152,13.1367855,-30.02499771118164,-51.22499084472656
2024-01-18,3.2953644,3.7912836,3.4412231,2.2960973,7.6099377,2.928728,4.261693,-30.02499771118164,-51.22499084472656
2024-01-19,0.92309177,1.2142708,1.0535372,0.686553,3.1591063,0.8880064,1.4789486,-30.02499771118164,-51.22499084472656
2024-01-20,2.2658782,3.1652997,2.9492455,0.9054607,10.994993,2.1388276,4.003227,-30.02499771118164,-51.22499084472656
2024-01-21,0.8281002,0.83795255,0.8281002,0.8281002,0.9678863,0.8281002,0.8281002,-30.02499771118164,-51.22499084472656
2024-01-22,0.3273945,0.3399404,0.3273945,0.3273945,0.4689263,0.3273945,0.34276497,-30.02499771118164,-51.22499084472656
2024-01-23,0.23310483,0.23777275,0.23310483,0.23310483,0.35831344,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656
2024-01-24,0.17219532,0.25414088,0.18850219,0.17219532,1.0941124,0.17219532,0.25025904,-30.02499771118164,-51.22499084472656
2024-01-25,0.14024973,0.14269064,0.14024973,0.14024973,0.2647363,0.14024973,0.14024973,-30.02499771118164,-51.22499084472656
2024-01-26,0.18850219,0.21645632,0.18850219,0.18850219,0.6710906,0.18850219,0.20644572,-30.02499771118164,-51.22499084472656
2024-01-27,0.20226443,0.28161258,0.20226443,0.14024973,1.1877615,0.1561122,0.29717922,-30.02499771118164,-51.22499084472656
2024-01-28,0.7823787,0.90156555,0.7823787,0.1561122,2.7670379,0.5232369,1.1953702,-30.02499771118164,-51.22499084472656
2024-01-29,0.7823787,0.5597066,0.5170504,0.35831344,1.3768401,0.44878334,0.6710906,-30.02499771118164,-51.22499084472656
2024-01-30,0.37404191,0.50654846,0.37404191,0.37404191,1.7989812,0.37404191,0.48937297,-30.02499771118164,-51.22499084472656
2024-01-31,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-02-01,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-02,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-03,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-04,0.98609495,0.28503668,0.18034875,0.07894671,1.2803421,0.09020394,0.45631528,-30.02499771118164,-51.22499084472656
2024-02-05,0.59220874,0.8101221,0.6711615,0.43879855,2.4040818,0.4996848,0.92561924,-30.02499771118164,-51.22499084472656
2024-02-06,0.25025904,0.25025913,0.25025904,0.25025904,0.25025904,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-02-07,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-08,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-09,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-10,0.07894671,0.20193572,0.07894671,0.07894671,2.2210689,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-11,0.07894671,0.095733486,0.07894671,0.07894671,0.61064565,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-12,0.10917485,0.48617852,0.18850219,0.10917485,3.0926065,0.10917485,0.60484666,-30.02499771118164,-51.22499084472656
2024-02-13,3.518559,3.966679,3.6087499,1.2181964,8.484184,2.8460398,5.244646,-30.02499771118164,-51.22499084472656
2024-02-14,1.0796967,1.1424257,1.0796967,1.0796967,1.5644841,1.0796967,1.1466041,-30.02499771118164,-51.22499084472656
2024-02-15,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656
2024-02-16,3.7533522,4.9227986,4.780976,1.5292981,8.527961,3.9777255,5.843058,-30.02499771118164,-51.22499084472656
2024-02-17,1.3280914,1.299071,1.2724931,1.1086283,1.9376497,1.1086283,1.408664,-30.02499771118164,-51.22499084472656
2024-02-18,0.8749945,0.6188754,0.5776112,0.5310875,1.1577444,0.5310875,0.65960014,-30.02499771118164,-51.22499084472656
2024-02-19,0.5310875,0.6194611,0.4689263,0.42232883,1.844461,0.42232883,0.633104,-30.02499771118164,-51.22499084472656
2024-02-20,0.25025904,0.27095136,0.25025904,0.25025904,0.43879855,0.25025904,0.28604278,-30.02499771118164,-51.22499084472656
2024-02-21,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656
2024-02-22,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-23,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-24,0.07894671,0.08219632,0.07894671,0.07894671,0.10917485,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-25,0.07894671,0.08286883,0.07894671,0.07894671,0.18850219,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-26,0.936422,1.065188,0.8113401,0.061695576,3.6881337,0.36238006,1.7753184,-30.02499771118164,-51.22499084472656
2024-02-27,3.4360867,4.368046,4.0350595,1.7989812,7.491805,3.4208703,5.426928,-30.02499771118164,-51.22499084472656
