date,precipitation,rain,showers,evapotranspiration,et0_fao_evapotranspiration,wind_gusts_10m,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,vapor_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_120m,wind_direction_180m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_1cm,soil_moisture_1_3cm,soil_moisture_3_9cm,soil_moisture_9_27cm,soil_moisture_27_81cm,weather_code
2024-01-01,0.0,0.0,0.0,0.0,6.359966,42.12,23.601252,68.89756,17.257502,24.98129,,1013.45416,1009.9605,40.916668,2.0,4.1666665,37.583332,,1.007327,12.659835,,,,,,,,,,,,,,,,,,0.0
2024-01-02,4.1,4.1,0.0,0.0,4.922268,27.359999,24.384584,77.31185,19.917917,27.436823,,1010.8208,1007.3459,43.625,5.25,20.75,32.083332,,0.75889856,7.453675,,,,,,,,,,,,,,,,,,0.0
2024-01-03,3.8999999,3.8999999,0.0,0.0,4.890975,50.039997,23.030418,78.51425,18.903334,24.34492,,1013.02496,1009.5266,32.166668,13.625,14.791667,10.375,,0.65161276,15.663094,,,,,,,,,,,,,,,,,,1.0
2024-01-04,3.9999998,3.9999998,0.0,0.0,4.838126,48.239998,23.015833,76.99532,18.65125,23.534273,,1014.85834,1011.3535,44.333332,24.0,20.416666,11.083333,,0.6802128,20.086353,,,,,,,,,,,,,,,,,,0.0
2024-01-05,0.6,0.6,0.0,0.0,5.8904743,47.88,23.899168,74.931015,18.917917,24.95703,,1013.5708,1010.08057,15.708333,10.708333,5.9166665,0.0,,0.8238031,18.57112,,,,,,,,,,,,,,,,,,0.0
2024-01-06,0.0,0.0,0.0,0.0,6.3745313,33.48,25.590836,70.96162,19.3075,28.344057,,1010.8667,1007.405,8.75,2.2083333,5.75,1.2916666,,1.1323851,9.446148,,,,,,,,,,,,,,,,,,0.0
2024-01-07,9.2,9.2,0.0,0.0,6.018471,41.760002,27.430418,72.80203,21.626251,31.38069,,1007.98334,1004.5528,53.458332,1.8333334,16.791666,45.958332,,1.1493434,8.66142,,,,,,,,,,,,,,,,,,0.0
2024-01-08,3.1,3.1,0.0,0.0,4.972494,45.36,27.734583,71.71981,21.501251,30.684273,,1007.76666,1004.3405,89.541664,4.7916665,18.875,88.583336,,1.2000192,12.590614,,,,,,,,,,,,,,,,,,3.0
2024-01-09,0.1,0.1,0.0,0.0,5.3625903,38.16,26.736666,74.63675,21.63875,30.157837,,1011.41254,1007.9627,80.333336,16.25,12.208333,70.583336,,0.9602024,11.191596,,,,,,,,,,,,,,,,,,3.0
2024-01-10,0.0,0.0,0.0,0.0,6.184059,35.28,28.488749,67.37792,20.936666,32.081112,,1010.14166,1006.71576,75.666664,1.6666666,10.916667,74.791664,,1.5021833,8.082374,,,,,,,,,,,,,,,,,,3.0
